PO Number,Load ID,Load Dest,Load Dest Type,Load Dest Address,Load P/U Window Start,Load P/U Window End,MABD,Carrier PU Date,Carrier Due Date,Carrier Name,Industry SCAC,Mode,Ship Point,Loading Method,Cases,Weight,Cube,Pallets,Event Code,PO Type,Department,Confirmed Date,Held/Suspended,PO Dest
7531652795,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/01/2024,06/01/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,42,61,7,1,POS REPLEN,33,40,05/16/2024,NO,6080
7531770938,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/03/2024,06/03/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,58,6,1,POS REPLEN,33,40,05/16/2024,NO,6021
7631358138,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,63,92,10,1,POS REPLEN,33,40,05/16/2024,NO,6031
8631066173,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,41,105,11,1,POS REPLEN,33,79,05/16/2024,NO,6054
8631641740,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/02/2024,06/02/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,99,11,1,POS REPLEN,33,79,05/16/2024,NO,6027
8781790615,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,52,76,8,1,POS REPLEN,33,40,05/16/2024,NO,6017
8830387683,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,33,76,8,1,POS REPLEN,33,79,05/16/2024,NO,6039
8831037044,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,102,11,1,POS REPLEN,33,79,05/16/2024,NO,6017
9031720953,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/29/2024,05/29/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,33,78,8,1,POS REPLEN,33,79,05/16/2024,NO,7026
9081128164,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,26,38,4,1,POS REPLEN,33,40,05/16/2024,NO,6009
9331128050,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,33,48,5,1,POS REPLEN,33,40,05/16/2024,NO,6023
9631810365,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,64,93,10,1,POS REPLEN,33,40,05/16/2024,NO,6012
9681188631,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,53,77,9,1,POS REPLEN,33,40,05/16/2024,NO,6036
